name,name_en,type,type_en,address,sum_district_name,sum_district_type ,bag_khoroo_name,bag_khoroo_type,3_word_address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time,
Төв салбар,Central Branch,branch,салбар,"Сүхбаатар дүүрэг, Энхтайваны өргөн чөлөө, Чингүнжавын гудамж-30
3 үгт хаяг: ///дугуй.дэвшил.хэлтэй",Сүхбаатар,дүүрэг,,,///дугуй.дэвшил.хэлтэй,"Chingunjav Street-30, Enkhtaivan Avenue,  Sukhbaatar disctrict
What3Words: /// rejects.astounded.cobras","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Багануур салбар ,Baganuur Branch,branch,салбар,"1-р хороо, Нацагдоржийн гудамж-7/1, ХасБанкны байр 
3 үгт хаяг: ///гавар.тугны.амруулах",,0,1-р,хороо,///гавар.тугны.амруулах,"XacBank building, 1st horoo, Natsagdorj Street-7/1, Baganuur district
What3Words: /// temperance.hyperlinks.inexpensive","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Баянгол салбар ,Bayangol Branch,branch,салбар,"Баянгол дүүрэг,13-р хороо, Ард Аюушийн өргөн чөлөөнд байрлах Соло молл худалдааны төв (3,4-р хорооллын автобусны эцсийн буудал)
3 үгт хаяг: ///манайх.ундарга.угсрагч",Баянгол,дүүрэг,13-р,хороо,///манайх.ундарга.угсрагч,"1st floor, Solo Mall, 13th horoo, Bayangol district
What3Words: /// alerting.comedians.urban","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Сонгинохайрхан салбар ,Songinohairhan Branch,branch,салбар,"Сонгинохайрхан дүүрэг, 12-р хороо, 1-р хороолол 1-р үйлчилгээний төв /""Саппоро"" худалдааны төвд/
3 үгт хаяг: ///яргуй.хөрвөөх.хонин",Сонгинохайрхан,дүүрэг,12-р,хороо,///яргуй.хөрвөөх.хонин,"1st floor, Sapporo shopping center, 12th horoo, Songinokhairkhan district
What3Words: /// princely.hazy.toolbar","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Сүхбаатар салбар,Suhbaatar Branch,branch,салбар,"Сүхбаатар дүүрэг, 7-р хороо, Эрхүүгийн гудамж, ""Ориент"" төвийн 1-р давхарт /Хөгжим бүжгийн коллежээс 11-р хороолол уруудах замын дагуу, хуучин гэмтлийн эмнэлэгийн хажууд
3 үгт хаяг: ///багтсан.ундаа.унших",Сүхбаатар,дүүрэг,7-р ,баг,///багтсан.ундаа.унших,"1st floor Orient center, 11th horoolol, 7 th horoo, Sukhbaatar district
What3Words: /// resold.truckload.magic","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Нарантуул тооцооны төв,Narantuul Branch,branch,тооцооны төв,"Баянзүрх дүүрэг, 14-р хороо, Нарантуул ОУХТ, Баялаг Ундраа Худалдааны Төвд
3 үгт хаяг: ///хөгжилтэй.эрдэмтэд.хүрнэ",Баянзүрх,дүүрэг,"Баянзүрх дүүрэг, 14-р",хороо,///хөгжилтэй.эрдэмтэд.хүрнэ,"Baylag Undraa Shopping Center, Narantuul International Commercial Center, 14th khoroo, Bayanzurkh district
What3Words: /// sulked.dusters.continues","Даваа-Бямба: 9:00-17:00
Мягмар, Ням: Амарна","Monday-Saturday: 9:00am-05:00pm
Tuesday, Sunday: Сlosed",1800-1888,1,0,1,1,1,1,0,09:00:00,17:00:00,
Дорноговь салбар,Dornogovi Branch,branch,салбар,"Сайншанд сум, 2-р баг, Хасбанкны байр /Шуудан үйлчилгээний газрын баруун талд, Данзанравжаагийн музейн урд талд/
3 үгт хаяг: ///зочломтгой.хайлан.олгосон",Сайншанд,сум,"Сайншанд сум, 2-р",баг,///зочломтгой.хайлан.олгосон,"XacBank building, 2nd bag, Sainshand soum
What3Words: /// denies.undeniably.overland","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Хэнтий салбар,Hentii Branch,branch,салбар,"Чингис хот, 3-р баг, Баатруудын гудамж, С-20-р байр, ХасБанкны байр
3 үгт хаяг: ///тусгах.ханз.цугларах",,0,"Чингис хот, 3-р",баг,///тусгах.ханз.цугларах,"XacBank building, Baatar gudamj, 3rd bag, Chinggis hot
What3Words: /// flies.market.argue","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Дархан салбар ,Darhan Branch,branch,салбар,"Дархан сум, 8-р баг, ХасБанкны байр /Микро хороолол/
3 үгт хаяг: ///ажилд.дагах.дөрөө",Дархан,сум,"Дархан сум, 8-р",баг,///ажилд.дагах.дөрөө,"XacBank building, 8th bag, Darhan soum
What3Words: /// canes.mountainous.whimpered","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Шинэ орчин тооцооны төв,Shine orchin Branch,branch,тооцооны төв,"Дархан сум, 6-р баг, ""Дархан тээвэр"" ХХК-ийн байранд
3 үгт хаяг: ///нисгэх.сарыг.хүүг",Дархан,сум,"Дархан сум, 6-р",баг,///нисгэх.сарыг.хүүг," Building of ""Darkhan teever"" Co.,Ltd, 6th bag, Darkhan soum
What3Words: /// edicts.constitutions.palettes","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Сэлэнгэ салбар,Selenge Branch,branch,салбар," Сүхбаатар сум, 6-р баг, ХасБанкны байр /Гурван Мэргэд захын урд тал, Титаник дэлгүүрын хажуу талд/
3 үгт хаяг: ///еэвэн.нийлсэн.хоймор",Сүхбаатар,сум,"Сүхбаатар сум, 6-р",баг,///еэвэн.нийлсэн.хоймор,"XacBank building, 6th bag, Suhbaatar soum
What3Words: /// purses.purified.gender","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Өвөрхангай салбар,Uvurhangay Branch,branch,салбар,"Арвайхээр сум, 5-р баг, Рэнчинпэлжээгийн гудамж, ХасБанкны байр
3 үгт хаяг: ///чармайх.бяцхан.нөхсөн",Арвайхээр,сум,"Арвайхээр сум, 5-р",баг,///чармайх.бяцхан.нөхсөн,"XacBank building, 5th bag, Renchinpeljee Street, Arvaikheer soum
What3Words: /// printouts.harshest.firework","Даваа - Баасан: 08:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Шинэ Дархан тооцооны төв,Shine Darhan branch,branch,тооцооны төв," Дархан сум, 15-р баг, Тэди төвийн  байр, 2 давхарт
3 үгт хаяг: ///унага.айлчин.өхөөрдөм",Дархан,сум,"Дархан сум, 15-р",баг,///унага.айлчин.өхөөрдөм,"2nd floor, Tedy center, 15th bag, Darkhan soum
What3Words: /// shuttling.scars.insulated","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Эрдэнэт салбар,Erdenet Branch,branch,салбар,"Баян-Өндөр сум, Эрдэнэт хот, Оюут баг, ХасБанкны байр /Сэлэнгэ зочид буудлын зүүн жигүүрт/
3 үгт хаяг: ///нэрс.айраг.төлөөлөл",Баян-Өндөр,сум,"Баян-Өндөр сум, Эрдэнэт хот, Оюут",баг,///нэрс.айраг.төлөөлөл,"XacBank building, Oyut bag, Erdenet hot, Bayan-Undur soum
What3Words: /// rinses.reputable.because","Даваа - Баасан: 08:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 08:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Баян-Өндөр тооцооны төв,Bayan-Undur Branch,branch,тооцооны төв,"Баян-Өндөр сум, Эрдэнэт хот, Эрдэнэт их дэлгүүрийн 1 давхарт
3 үгт хаяг: ///цутгах.дуурайх.буурь",Баян-Өндөр,сум,,,///цутгах.дуурайх.буурь,```,"Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Архангай салбар,Arhangai Branch,branch,салбар,"Эрдэнэбулган сум, 3-р баг, ХасБанкны байр
3 үгт хаяг: ///асуухад.найдаж.тохиолдол",Эрдэнэбулган,сум,"Эрдэнэбулган сум, 3-р",баг,///асуухад.найдаж.тохиолдол,"XacBank building, 3rd bag, Erdenebulgan soum
What3Words: /// throttles.unseasoned.aligns","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Завхан салбар,Zavhan Branch,branch,салбар,"Улиастай сум, Жинст баг, ХасБанкны байр 
3 үгт хаяг: ///амтлах.ивэх.явган",Улиастай,сум,"Улиастай сум, Жинст",баг,///амтлах.ивэх.явган,"XacBank building, Jinst bag, Uliastai soum
What3Words: /// waddled.papers.comforted","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Хөвсгөл салбар,Huvsgul Branch,branch,салбар,"Мөрөн сум, 8-р баг, ХасБанкны байр
3 үгт хаяг: ///боломжит.зөвлөл.төллөх",Мөрөн,сум,"Мөрөн сум, 8-р",баг,///боломжит.зөвлөл.төллөх,"XacBank building, 8th bag, Murun soum
What3Words: /// fools.thrilled.applauded","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Дэлгэрхаан тооцооны төв,Delgerhaan Branch,branch,тооцооны төв,"Мөрөн сум, 4-р баг, ""Мөрөн"" худалдаа үйлчилгээний төвийн байранд
3 үгт хаяг: ///цэнгээн.олгов.өгчээ",Мөрөн,сум,"Мөрөн сум, 4-р",баг,///цэнгээн.олгов.өгчээ,"Murun market place, 4th bag, Murun soum,
What3Words: /// librarian.importers.ramps","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Өмнөговь салбар ,Umnugovi Branch,branch,салбар,"Даланзадгад сум, 3-р баг, ХасБанкны байр /""Монголийн Цахилгаан Холбоо"" ХК-ийн байрны баруун талд/
3 үгт хаяг: ///хүүг.улам.аягаар",Даланзадгад,сум,"Даланзадгад сум, 3-р",баг,///хүүг.улам.аягаар,"XacBank building, 3rd bag, Dalanzadgad soum
What3Words: /// telephoning.unemployment.lumpiness","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Дундговь салбар,Dundgovi Branch,branch,салбар,"Мандалговь сум, 7-р баг, Буяннэмэхийн гудамж-18, ХасБанкны байр /Аймгийн Музейн урд, хойшоо харсан/
3 үгт хаяг: ///бичвэл.таах.хуваав",Мандалговь,сум,"Мандалговь сум, 7-р",баг,///бичвэл.таах.хуваав,"XacBank building, Buyannemeh street-18, 7th bag, Mandalgobi soum
What3Words: /// tournaments.expertly.pillbox","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Говь-Алтай салбар,Govi-Altai branch,branch,салбар,"Есөнбулаг сум, Харзат баг, Төв гудамж, Хасбанкны байр /Цагдаагийн хэлтэсийн баруун урд, төв замын урд хэсэгт/
3 үгт хаяг: ///мялаав.нийтлэн.үүрлэн",Есөнбулаг,сум,"Есөнбулаг сум, Харзат",баг,///мялаав.нийтлэн.үүрлэн,"XacBank building, Harzat bag, Central street, Esonbulag soum
What3Words: /// gaping.numbness.correlation","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Баянхонгор салбар,Bayankhongor Branch,branch,салбар,"Баянхонгор аймаг, Баянхонгор сум, 1-р баг, Номгон Лувсанданзанжанцан өргөн чөлөө, 4 гудамж, 436 байр, 1 давхарт
 3 үгт хаяг: ///хурааж.гоёмсог.ухаантай","Баянхонгор аймаг, Баянхонгор",сум,"Баянхонгор аймаг, Баянхонгор сум, 1-р",баг,///хурааж.гоёмсог.ухаантай,"1st floor of Building 436, 4th street, Nomgon Lubsandanzanjantsan avenue, 1st bag, Bayankhongor soum
 What3Words: /// corroding.frighten.redwoods","Даваа - Баасан: 08:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Ханжаргалант тооцооны төв,Hanjargalant Branch,branch,тооцооны төв,"Улиастай сум, Богдын гол баг, ""Сэргээгдэх"" төв, 1-р давхарт
3 үгт хаяг: ///эмхэтгэл.мэдэрч.ажигч",Улиастай,сум,"Улиастай сум, Богдын гол",баг,///эмхэтгэл.мэдэрч.ажигч,"1st floor, Sergeegdeh center, Bogdiin gol bag, Uliastai soum
What3Words: /// broadens.admit.thank","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 08:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Арвайхээр тооцооны төв,Arvaiheer Branch,branch,тооцооны төв,"Арвайхээр сум, 5-р баг, ""Хангамж "" худалдааны төвийн 1-р давхар
3 үгт хаяг: ///нэгдэн.захирамж.хэвлэгч",Арвайхээр,сум,"Арвайхээр сум, 5-р",баг,///нэгдэн.захирамж.хэвлэгч,"1st floor, Khangamj Shopping Center, 5th bag, Arvaikheer soum
What3Words: /// greet.creamed.task","Даваа - Баасан: 08:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 08:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Дорнод салбар ,Dornod Branch,branch,салбар,"Хэрлэн сум, 6-р баг, Читын гудамж, ХасБанкны байр
3 үгт хаяг: ///баярыг.голч.хүргээд",Хэрлэн,сум,"Хэрлэн сум, 6-р",баг,///баярыг.голч.хүргээд,"XacBank building, Chit street, 6th bag, Kherlen soum
What3Words: /// discouraged.earphones.forget","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Хэрлэн тооцооны төв,Herlen Branch,branch,тооцооны төв,"Хэрлэн сум,6-р баг,  ""Тана"" худалдааны төвийн 1-р давхарт
3 үгт хаяг: ///олгох.цуурай.шугамаа",Хэрлэн,сум,"Хэрлэн сум,6-р",баг,///олгох.цуурай.шугамаа,"1st floor of Tana center, 6th bag, Kherlen soum
What3Words: /// piglets.costumed.gradually","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Увс салбар,Uvs Branch,branch,салбар,"Улаангом сум, 11-р баг, ХасБанкны байр
3 үгт хаяг: ///хоршоо.хүргэгч.сэргэлэн",Улаангом,сум,"Улаангом сум, 11-р",баг,///хоршоо.хүргэгч.сэргэлэн,"XacBank building, 11th bag, Ulaangom soum
What3Words: /// quibble.erupt.croaking","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Улаангом тооцооны төв,Ulaangom Branch,branch,тооцооны төв,"Улаангом сум, 3-р баг, ""Өгөөмөр-Өгөөж"" ХХК-ийн байр, 1-р давхарт
3 үгт хаяг: ///бэхжих.бүжигчид.сэдвийн",Улаангом,сум,"Улаангом сум, 3-р",баг,///бэхжих.бүжигчид.сэдвийн,"1st floor, Uguumur-Uguuj LLC building, 3rd bag, Ulaangom soum
What3Words: /// bloodshot.trudges.sake","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Баруун-Урт салбар,Baruun-Urt Branch,branch,салбар,"Баруун-Урт сум, 7-р баг, Монголбанкны байр
3 үгт хаяг: ///төгсөлт.халиун.хаантан",Баруун-Урт,сум,"Баруун-Урт сум, 7-р",баг,///төгсөлт.халиун.хаантан,"MongolBank building, 7th bag, Baruun-Urt soum
What3Words: /// slice.wages.rainwater","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Ховд салбар,Hovd Branch,branch,салбар,"Жаргалант сум, Жаргалан баг, ХасБанкны байр
3 үгт хаяг: ///шинэхэн.хийлч.хэсэгчлэл",Жаргалант,сум,"Жаргалант сум, Жаргалан",баг,///шинэхэн.хийлч.хэсэгчлэл,"XacBank building, Jargalan bag, Jargalant soum
What3Words: /// dabble.opposites.shrubbery","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",70432756,1,1,1,1,1,0,0,08:30:00,16:30:00,
Баян-Өлгий салбар,Bayan-Ulgiy Branch,branch,салбар,"Өлгий сум, 5-р баг, MJS tower-ын 2-р давхарт, ХасБанкны байр;
3 үгт хаяг: ///номоо.ууршилт.анхдагч",Өлгий,сум,"Өлгий сум, 5-р",баг,///номоо.ууршилт.анхдагч,"2nd floor, MJS tower, 5th bag, Ulgii soum
What3Words: /// adhesive.bluntly.acrobat","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Зуунмод салбар,Zuunmod Branch,branch,салбар,"Зуунмод сум, 1-р баг, ХасБанкны байр
3 үгт хаяг: ///илэрч.ивээл.үйлдэгч",Зуунмод,сум,"Зуунмод сум, 1-р",баг,///илэрч.ивээл.үйлдэгч,"XacBank building, 1st bag, Zuunmod soum, 
What3Words: /// pretends.unsteady.median","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Булган салбар,Bulgan Branch,branch,салбар,"Булган сум, 6-р баг, Чин Ван Ханддоржийн өргөн чөлөө, 1-119 тоот, ХасБанкны байр
3 үгт хаяг: ///цолыг.дулаахан.баахан",Булган,сум,"Булган сум, 6-р",баг,///цолыг.дулаахан.баахан,"XacBank building, 1-119, Khanddorj avenue, 6th bag, Bulgan soum
What3Words: /// lugging.motherhood.votes","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Замын-Үүд тооцооны төв,Zamiin-Uud Branch,branch,тооцооны төв,"Замын-Yүд сум, 1-р баг, 10-р хэсэг, Төв талбай, ХасБанкны байр
3 үгт хаяг: ///бүрдэл.хувийг.бяруу",Замын-Yүд,сум,"Замын-Yүд сум, 1-р",баг,///бүрдэл.хувийг.бяруу,"Xacbank building, Central square, 10th section, 1st bag, Zamiin-Uud soum
What3Words: /// ungracious.outcast.cakewalk","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Цогтцэций тооцооны төв,Tsogttsetsii Branch,branch,тооцооны төв,"Цогтцэций сум, Цэций баг, ХасБанкны байр
3 үгт хаяг: ///баярлав.хорвоод.авирлаж",Цогтцэций,сум,"Цогтцэций сум, Цэций",баг,///баярлав.хорвоод.авирлаж,"XacBank building, Tsetsii bag, Tsogttsetseii soum
What3Words: /// finds.intimates.aerobics","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Гранд тооцооны төв,Grand branch,branch,тооцооны төв,"Баянгол дүүрэг, 2-р хороо, Энхтайваны өргөн чөлөө-46, ""Гранд плаза"" худалдааны төв, B1 давхарт
3 үгт хаяг: ///нартай.зөндөө.өмсөх",Баянгол,дүүрэг,"Баянгол дүүрэг, 2-р",хороо,///нартай.зөндөө.өмсөх,"B1 floor, Grand Plaza shopping center, 2nd khoroo, Enkhtaivan Avenue, Bayangol district 
What3Words: /// wept.skies.logbook","Даваа - Баасан: 08:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 08:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Долоон буудал Тооцооны төв,Doloon Buudal Branch,branch,тооцооны төв,"Сүхбаатар дүүрэг, 14-р хороо, /7 буудал/, Хүсэлт Төвийн 2 давхарт 
3 үгт хаяг: ///амтлах.хийлгэх.авсан",Сүхбаатар,дүүрэг,"Сүхбаатар дүүрэг, 14-р",хороо,///амтлах.хийлгэх.авсан,"2nd floor, Khuselt Center, /7 buudal/, 14th khoroo, Sukhbaatar District
What3Words: /// mural.dividing.behaving","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
21-р хороолол тооцооны төв,21st microdistrict branch,branch,тооцооны төв,"Сонгинохайрхан дүүрэг, 6-р хороо, Содон хороолол  /18062/, үйлдвэрчний эвлэлийн гудамж 101-р байр 101 тоот
3 үгт хаяг: ///дуулав.ажиглаж.тойм",Сонгинохайрхан,дүүрэг,"Сонгинохайрхан дүүрэг, 6-р",хороо,///дуулав.ажиглаж.тойм,"Building no.101, #101, Sodon khoroolol, 6th khoroo, Songinohairhan district 
What3Words: /// paints.fights.dimension","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Хүчитшонхор тооцооны төв,Huchit Shonhor Branch,branch,тооцооны төв,"Чингэлтэй дүүрэг, 11-р хороо, Дэнжийн мянгын 58, ""Хүчит Шонхор"" ХХК-ийн байр /""Хүчитшонхор"" зах дотор/
3 үгт хаяг: ///үлдээх.сайшаал.цуглах",Чингэлтэй,дүүрэг,"Чингэлтэй дүүрэг, 11-р",хороо,///үлдээх.сайшаал.цуглах,"Khuchit Shonhor LLC building, 11th khoroo, Chingeltei District
What3Words: /// cabs.choppers.disprove","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Төв Талбай Салбар,Central Square Branch,branch,салбар,"Сүхбаатар дүүрэг, 8-р хороо, Ерөнхий сайд Амарын гудамж, ХасБанкны төв байр /Сүхбаатарын талбайн зүүн талд/
3 үгт хаяг: ///тоох.эхэлжээ.цамхагт",Сүхбаатар,дүүрэг,"Сүхбаатар дүүрэг, 8-р",хороо,///тоох.эхэлжээ.цамхагт,"XacBank head office, Prime Minister Amar's Street, Sukhbaatar district
What3Words: /// teaching.placidly.each","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Сансар салбар,Sansar branch,branch,салбар,"Баянзүрх дүүрэг, 3-р хороо, 13-р хороолол, Энхтайваны өргөн чөлөө, ""СиАрИ"" ХХК-ийн байр /Зүүн 4 замын баруун хойно, Эрүүл Мэндийн хүрээлэнгийн урд талд/
3 үгт хаяг: ///үйлдэв.дуулах.бүжгээр",Баянзүрх,дүүрэг,"Баянзүрх дүүрэг, 3-р",хороо,///үйлдэв.дуулах.бүжгээр,"CRE LLC building, 13th khoroolol , 3th khoroo, Bayanzurkh District
What3Words: /// iterative.pave.clarifies","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
Хонгор тооцооны төв,Hongor Branch,branch,тооцооны төв,"Баянхонгор сум, 1-р  баг, ""Цэлмэг өглөө"" худалдааны төвийн 2-р давхарт
3 үгт хаяг: ///давж.хэдийг.хацартай",Баянхонгор,сум,"Баянхонгор сум, 1-р",баг,///давж.хэдийг.хацартай,"2nd floor, Tselmeg Ugluu shopping center, 1st bag, Bayankhongor soum
What3Words: /// roofing.bluffed.uproots","Даваа - Баасан: 10:00-18:00
Бямба, Ням: Амарна","Monday - Friday: 10:00am-6:00pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,10:00:00,18:00:00,
Бор-Өндөр тооцооны төв,Bor-Undur ,branch,тооцооны төв,"Хэнтий аймаг,Бор-Өндөр сумын 2-р баг, ХасБанкны байр
3 үгт хаяг: ///зөөгөөд.айлчлалууд.дугаар","Хэнтий аймаг,Бор-Өндөр",сум,"Хэнтий аймаг,Бор-Өндөр сумын 2-р",баг,///зөөгөөд.айлчлалууд.дугаар,"XacBank building, 2nd bag, Bor-Undur soum
What3Words: /// cadet.narrated.zygotes","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00,
